Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,20,NOP,NBA,PF,1,0,9:35,5,6,.833,0,0,,0,0,,0,1,0,2,0,1,0,10
2014-15,21,NOP,NBA,PF,,0,,,,,,,,,,,,,,,,,,
2015-16,22,NOP,NBA,C,1,0,15:19,12,13,.923,0,0,,0,0,,3,6,0,1,0,0,1,24
2016-17,23,NOP,NBA,C,1,1,31:50,26,39,.667,0,4,.000,0,0,,4,10,0,2,0,1,1,52
2017-18,24,NOP,NBA,PF,1,1,16:40,6,9,.667,0,1,.000,0,0,,1,2,1,0,0,1,2,12
2018-19,25,NOP,NBA,C,1,0,4:53,2,2,1.000,1,1,1.000,0,0,,0,1,0,0,0,0,0,5
2019-20,26,LAL,NBA,PF,1,1,20:21,9,16,.563,1,6,.167,1,2,.500,2,9,1,3,3,1,3,20
2020-21,27,LAL,NBA,PF,,,,,,,,,,,,,,,,,,,,
2023-24,30,LAL,NBA,C,1,0,22:25,3,5,.600,0,2,.000,0,0,,1,8,8,0,1,1,0,6
Career,,,NBA,,7,3,121,63,90,,2,14,,1,2,,11,37,10,8,4,5,7,129