Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2014-15,21,NOP,NBA,PF,4,4,172,14.3,26.4,.540,0.0,0.6,.000,14.3,25.8,.553,.540,9.7,10.9,.889,2.7,10.6,13.4,2.4,1.5,3.6,3.9,3.6,38.2,116,110,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,24,NOP,NBA,PF,9,9,358,13.8,26.6,.520,0.8,2.9,.273,13.1,23.8,.549,.534,6.9,8.4,.828,3.1,12.7,15.8,2.0,2.3,2.7,3.0,3.9,35.4,111,101,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,26,LAL,NBA,PF,21,21,769,13.2,23.0,.571,1.5,3.8,.383,11.7,19.2,.609,.603,9.6,11.5,.832,3.5,9.6,13.1,4.7,1.7,1.9,3.4,3.6,37.3,130,107,
2020-21,27,LAL,NBA,PF,5,5,144,8.9,22.0,.403,0.7,3.9,.182,8.2,18.1,.451,.419,12.4,14.9,.833,2.5,9.2,11.7,4.6,1.1,2.8,2.1,3.2,30.9,116,108,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,29,LAL,NBA,C,16,16,608,10.6,20.4,.520,0.4,1.2,.333,10.2,19.2,.531,.530,7.4,8.7,.852,3.1,15.0,18.1,3.3,1.8,4.0,2.7,3.7,29.0,118,102,
2023-24,30,LAL,NBA,C,5,5,208,14.3,22.5,.634,0.0,1.2,.000,14.3,21.3,.670,.634,5.1,6.3,.808,3.6,15.3,18.9,4.8,0.5,1.9,2.7,4.6,33.7,129,109,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,60,60,2259,12.5,23.1,.542,0.8,2.5,.313,11.7,20.6,.570,.559,8.3,9.9,.840,3.2,12.1,15.4,3.7,1.7,2.8,3.0,3.7,34.1,122,105,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),,47,47,1729,12.0,22.0,.548,0.9,2.6,.330,11.2,19.4,.578,.568,8.5,10.2,.837,3.3,12.2,15.4,4.2,1.5,2.7,3.0,3.7,33.4,125,105,
NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),,13,13,530,14.0,26.6,.526,0.5,2.2,.250,13.4,24.4,.551,.536,7.8,9.1,.850,3.0,12.0,15.1,2.1,2.1,3.0,3.3,3.8,36.2,113,104,