,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,
Season,Age,Team,Lg,Round,Opp,W/L,G,MP,PTS,TRB,AST,STL,BLK,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,22,NOP,NBA,WC1,GSW,L (0-4),4,43.0,31.5,11.0,2.0,1.3,3.0,47,87,.540,0,2,.000,47,85,.553,.540,32,36,.889,9,35,44,8,5,12,13,12,126,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,25,NOP,NBA,WC1,POR,W (4-0),4,38.8,33.0,11.8,1.3,1.8,2.8,49,85,.576,3,10,.300,46,75,.613,.594,31,38,.816,11,36,47,5,7,11,10,14,132,
2017-18,25,NOP,NBA,WCS,GSW,L (1-4),5,40.6,27.8,14.8,2.0,2.2,2.0,57,119,.479,3,12,.250,54,107,.505,.492,22,26,.846,13,61,74,10,11,10,13,16,139,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,27,LAL,NBA,WC1,POR,W (4-1),5,32.6,29.8,9.4,4.2,1.4,1.6,51,89,.573,7,18,.389,44,71,.620,.612,40,56,.714,15,32,47,21,7,8,6,9,149,
2019-20,27,LAL,NBA,WCS,HOU,W (4-1),5,37.2,25.4,12.4,4.0,0.8,1.4,48,80,.600,2,5,.400,46,75,.613,.613,29,36,.806,14,48,62,20,4,7,20,13,127,
2019-20,27,LAL,NBA,WCF,DEN,W (4-1),5,38.0,31.2,6.2,2.6,1.4,0.6,50,92,.543,6,18,.333,44,74,.595,.576,50,55,.909,6,25,31,13,7,3,11,16,156,
2019-20,27,LAL,NBA,FIN,MIA,W (4-2),6,38.2,25.0,10.7,3.2,1.3,2.0,56,98,.571,8,19,.421,48,79,.608,.612,30,32,.938,20,44,64,19,8,12,16,18,150,
2020-21,28,LAL,NBA,WC1,PHO,L (2-4),5,28.8,17.4,6.6,2.6,0.6,1.6,25,62,.403,2,11,.182,23,51,.451,.419,35,42,.833,7,26,33,13,3,8,6,9,87,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,30,LAL,NBA,WC1,MEM,W (4-2),6,36.3,20.8,13.7,2.0,1.3,4.3,49,100,.490,3,9,.333,46,91,.505,.505,24,29,.828,18,64,82,12,8,26,14,15,125,
2022-23,30,LAL,NBA,WCS,GSW,W (4-2),6,37.5,21.5,14.5,3.3,1.5,2.2,48,83,.578,0,2,.000,48,81,.593,.578,33,39,.846,11,76,87,20,9,13,14,17,129,
2022-23,30,LAL,NBA,WCF,DEN,L (0-4),4,41.3,26.8,14.0,2.3,1.3,2.8,35,71,.493,2,4,.500,33,67,.493,.507,35,40,.875,9,47,56,9,5,11,6,14,107,
2023-24,31,LAL,NBA,WC1,DEN,L (1-4),5,41.6,27.8,15.6,4.0,0.4,1.6,59,93,.634,0,5,.000,59,88,.670,.634,21,26,.808,15,63,78,20,2,8,11,19,139,
6 Yrs (12 Series),6 Yrs (12 Series),6 Yrs (12 Series),6 Yrs (12 Series),6 Yrs (12 Series),6 Yrs (12 Series),7-5,60,37.6,26.1,11.8,2.8,1.3,2.2,574,1059,.542,36,115,.313,538,944,.570,.559,382,455,.840,148,557,705,170,76,129,140,172,1566,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (6 Series),WC1 (6 Series),WC1 (6 Series),WC1 (6 Series),WC1 (6 Series),WC1 (6 Series),3-3,29,36.6,26.1,11.4,2.7,1.1,2.5,280,516,.543,15,55,.273,265,461,.575,.557,183,227,.806,75,256,331,79,32,73,60,78,758,
WCS (3 Series),WCS (3 Series),WCS (3 Series),WCS (3 Series),WCS (3 Series),WCS (3 Series),2-1,16,38.4,24.7,13.9,3.1,1.5,1.9,153,282,.543,5,19,.263,148,263,.563,.551,84,101,.832,38,185,223,50,24,30,47,46,395,
WCF (2 Series),WCF (2 Series),WCF (2 Series),WCF (2 Series),WCF (2 Series),WCF (2 Series),1-1,9,39.4,29.2,9.7,2.4,1.3,1.6,85,163,.521,8,22,.364,77,141,.546,.546,85,95,.895,15,72,87,22,12,14,17,30,263,
FIN (1 Series),FIN (1 Series),FIN (1 Series),FIN (1 Series),FIN (1 Series),FIN (1 Series),1-0,6,38.2,25.0,10.7,3.2,1.3,2.0,56,98,.571,8,19,.421,48,79,.608,.612,30,32,.938,20,44,64,19,8,12,16,18,150,