,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
2014-15,21,NOP,NBA,PF,4,4,172,.540,9.3,.977,.276,.253,.287,.161,.023,.553,.708,.500,.520,.429,.000,.723,,.138,10,.000,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,24,NOP,NBA,PF,9,9,358,.520,8.9,.892,.387,.221,.137,.152,.108,.549,.696,.533,.286,.419,.273,.790,1.000,.176,34,.091,.000,1,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,26,LAL,NBA,PF,21,21,769,.571,11.7,.833,.284,.187,.175,.187,.167,.609,.824,.537,.397,.552,.383,.577,.913,.156,54,.250,.400,0,0,
2020-21,27,LAL,NBA,PF,5,5,144,.403,12.0,.823,.290,.113,.258,.161,.177,.451,.667,.714,.313,.100,.182,.696,1.000,.161,9,.091,.000,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,29,LAL,NBA,C,16,16,608,.520,7.9,.941,.327,.354,.193,.067,.059,.531,.627,.500,.408,.588,.333,.732,1.000,.161,34,.400,.500,1,0,
2023-24,30,LAL,NBA,C,5,5,208,.634,6.6,.946,.409,.366,.129,.043,.054,.670,.842,.559,.500,.500,.000,.661,,.129,12,.200,.000,0,0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,60,60,2259,.542,9.4,.891,.325,.250,.182,.135,.109,.570,.733,.528,.399,.483,.313,.680,.944,.158,153,.217,.360,2,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),,47,47,1729,.548,9.6,.882,.314,.258,.182,.128,.118,.578,.747,.530,.400,.510,.330,.647,.933,.155,109,.253,.391,1,0,
NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),,13,13,530,.526,9.1,.918,.354,.230,.182,.155,.082,.551,.699,.522,.396,.422,.250,.769,1.000,.165,44,.083,.000,1,0,