,,,,,,,,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
2012-13,19,NOH,NBA,PF,64,60,1846,.516,.521,.000,.516,.751,.559,.333,.009,114,108,0,104,100,105,123,4,26.8,38.3,ROY-2
2013-14,20,NOP,NBA,PF,67,66,2358,.519,.522,.222,.520,.791,.582,.438,.009,114,107,62,104,105,108,154,3,38.8,97.4,DPOY-8AS
2014-15,21,NOP,NBA,PF,68,68,2455,.535,.540,.083,.536,.805,.591,.384,.010,119,111,24,108,107,111,141,4,95.9,158.4,MVP-5DPOY-4ASNBA1DEF2
2015-16,22,NOP,NBA,C,61,61,2164,.493,.511,.324,.508,.758,.559,.379,.095,109,104,92,101,100,103,137,33,13.4,46.5,DPOY-9AS
2016-17,23,NOP,NBA,C,75,75,2708,.505,.524,.299,.518,.802,.580,.424,.088,110,104,83,101,104,105,157,28,12.2,98.7,MVP-9ASNBA1DEF2
2017-18,24,NOP,NBA,PF,75,75,2727,.534,.558,.340,.552,.828,.612,.409,.111,116,109,94,106,108,110,162,33,91.1,191.2,MVP-3DPOY-3ASNBA1DEF1
2018-19,25,NOP,NBA,C,56,56,1850,.517,.547,.331,.540,.794,.597,.422,.141,112,105,93,103,104,107,163,39,32.3,90.4,AS
2019-20,26,LAL,NBA,PF,62,62,2131,.503,.546,.330,.536,.846,.610,.479,.199,109,104,92,101,109,108,184,52,14.8,119.2,MVP-6DPOY-2ASNBA1DEF1
2020-21,27,LAL,NBA,PF,36,36,1162,.491,.536,.260,.512,.738,.556,.349,.163,105,101,71,95,95,97,141,42,-31.5,-22.7,AS
2021-22,28,LAL,NBA,C,40,40,1404,.532,.571,.186,.542,.713,.578,.351,.101,115,107,53,102,92,102,141,25,14.0,18.7,
2022-23,29,LAL,NBA,C,56,54,1904,.563,.589,.257,.573,.784,.627,.462,.077,119,107,71,105,100,108,173,20,53.9,105.6,
2023-24,30,LAL,NBA,C,76,76,2700,.556,.582,.271,.567,.816,.621,.402,.083,117,107,74,104,104,107,165,21,52.6,124.4,DPOY-4ASNBA2DEF1
2024-25,31,2TM,NBA,PF,51,51,1706,.516,.553,.282,.536,.775,.588,.405,.136,111,102,78,99,99,102,167,32,-13.4,25.2,AS
2024-25,31,LAL,NBA,C,42,42,1440,.528,.560,.298,.546,.788,.601,.423,.124,113,103,83,101,101,104,174,29,4.7,44.7,
2024-25,31,DAL,NBA,PF,9,9,266,.461,.516,.233,.484,.688,.520,.316,.197,99,95,65,89,88,90,130,47,-18.1,-19.5,
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,787,780,27115,.522,.546,.296,.536,.794,.592,.408,.093,113,106,82,103,103,106,156,26,400.9,1091.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOH (7 Yrs),NOH (7 Yrs),NOH (7 Yrs),NOH (7 Yrs),,466,461,16108,.517,.533,.314,.528,.795,.585,.403,.072,114,107,88,104,104,107,150,22,310.5,720.9,
LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),,312,310,10741,.532,.567,.282,.549,.794,.604,.419,.123,114,105,78,102,102,105,166,31,108.5,389.9,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,9,9,266,.461,.516,.233,.484,.688,.520,.316,.197,99,95,65,89,88,90,130,47,-18.1,-19.5,