Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2012-13,19,NOH,NBA,41:50,11,20,0,1,11,20,9,11,6,14,18,4,4,5,5,5,28,23.3
2013-14,20,NOP,NBA,47:42,15,27,1,1,15,27,12,16,9,16,21,5,6,9,5,6,40,41.9
2014-15,21,NOP,NBA,49:51,17,30,1,2,17,30,14,16,9,13,18,7,6,9,6,5,43,39.4
2015-16,22,NOP,NBA,50:11,24,34,3,7,22,32,16,20,6,17,20,7,4,9,5,5,59,53.9
2016-17,23,NOP,NBA,48:29,18,34,4,5,17,32,17,18,7,17,22,6,5,6,7,5,50,44.2
2017-18,24,NOP,NBA,49:46,17,35,4,7,16,31,21,26,8,15,18,7,6,10,7,6,53,50.1
2018-19,25,NOP,NBA,42:58,20,34,4,9,20,32,20,21,8,21,26,9,5,5,6,5,48,44.7
2019-20,26,LAL,NBA,43:06,20,30,4,9,20,27,26,27,8,12,20,7,4,8,7,5,50,48.5
2020-21,27,LAL,NBA,44:31,16,27,4,10,16,24,15,17,7,12,17,7,3,5,5,4,42,37.5
2021-22,28,LAL,NBA,48:36,15,31,2,5,15,27,10,14,7,12,18,8,4,5,6,5,35,33.8
2022-23,29,LAL,NBA,46:01,22,30,2,5,20,27,18,21,10,18,22,7,5,6,7,5,55,49.5
2023-24,30,LAL,NBA,51:52,15,31,3,8,14,26,15,17,10,17,25,11,7,7,6,6,41,39.6
2024-25,31,TOT,NBA,41:31,17,28,2,5,17,26,13,17,8,15,23,10,3,7,6,5,42,36.9
2024-25,31,LAL,NBA,41:31,17,28,2,5,17,26,13,17,8,15,23,8,3,6,6,5,42,36.9
2024-25,31,DAL,NBA,33:22,14,23,2,5,12,19,10,13,4,13,16,10,1,7,6,4,34,29.9
Career,,,,51:52,24,35,4,10,22,32,26,27,10,21,26,11,7,10,7,6,59,53.9
,,,,,,,,,,,,,,,,,,,,,,
7 Seasons,,NOHNOP,NBA,50:11,24,35,4,9,22,32,21,26,9,21,26,9,6,10,7,6,59,53.9
6 Seasons,,LAL,NBA,51:52,22,31,4,10,20,27,26,27,10,18,25,11,7,8,7,6,55,49.5
1 Season,,DAL,NBA,33:22,14,23,2,5,12,19,10,13,4,13,16,10,1,7,6,4,34,29.9