,,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,
Season,Age,Team,Lg,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
2012-13,19,NOH,NBA,PF,64,60,1846,0,0,0,61,39,-5.3,-1.2,29,29,77,21,112,10,144,32,47,ROY-2
2013-14,20,NOP,NBA,PF,67,66,2358,0,0,0,71,29,-1.8,1.9,31,27,113,30,210,16,238,44,68,DPOY-8AS
2014-15,21,NOP,NBA,PF,68,68,2455,0,0,0,64,36,5.6,11.4,26,36,86,19,209,9,351,53,57,MVP-5DPOY-4ASNBA1DEF2
2015-16,22,NOP,NBA,C,61,61,2164,0,0,0,46,54,-4.7,-1.8,40,43,81,18,172,6,274,37,54,DPOY-9AS
2016-17,23,NOP,NBA,C,75,75,2708,0,0,0,36,64,1.2,9.7,54,73,86,34,284,11,380,73,55,MVP-9ASNBA1DEF2
2017-18,24,NOP,NBA,PF,75,75,2727,0,0,0,49,51,5.2,11.0,50,65,98,19,246,7,423,67,46,MVP-3DPOY-3ASNBA1DEF1
2018-19,25,NOP,NBA,C,56,56,1850,0,0,0,4,96,3.2,8.6,44,35,84,15,175,14,516,43,40,AS
2019-20,26,LAL,NBA,PF,62,62,2131,0,0,0,60,40,4.7,-3.0,70,47,99,16,179,16,487,54,41,MVP-6DPOY-2ASNBA1DEF1
2020-21,27,LAL,NBA,PF,36,36,1162,0,0,0,91,10,4.9,3.4,29,29,33,6,81,6,266,18,24,AS
2021-22,28,LAL,NBA,C,40,40,1404,0,0,0,24,76,-3.2,-0.2,31,34,57,11,89,5,309,25,18,
2022-23,29,LAL,NBA,C,56,54,1904,0,0,0,0,100,4.7,7.8,39,42,85,25,198,5,355,49,58,
2023-24,30,LAL,NBA,C,76,76,2700,0,0,0,3,97,2.3,6.0,53,60,117,22,221,4,625,60,80,DPOY-4ASNBA2DEF1
2024-25,31,2TM,NBA,PF,51,51,1706,0,0,0,13,87,1.1,-0.2,49,48,60,10,165,6,433,42,39,AS
2024-25,31,LAL,NBA,C,42,42,1440,0,0,0,5,95,1.4,-0.5,38,41,48,9,140,5,339,38,34,
2024-25,31,DAL,NBA,PF,9,9,266,0,0,0,58,42,-0.1,1.2,11,7,12,1,25,1,94,4,5,
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,787,780,27115,0,0,0,39,61,1.5,4.7,545,568,1076,246,2341,115,4801,597,627,
,,,,,,,,,,,,,,,,,,,,,,,,
NOH (7 Yrs),NOH (7 Yrs),NOH (7 Yrs),NOH (7 Yrs),,466,461,16108,0,0,0,48,52,0.8,6.1,274,308,625,156,1408,73,2326,349,367,
LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),,312,310,10741,0,0,0,26,74,2.6,2.6,260,253,439,89,908,41,2381,244,255,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,9,9,266,0,0,0,58,42,-0.1,1.2,11,7,12,1,25,1,94,4,5,