Season,Team,Lg,Salary
2012-13,New Orleans Hornets,NBA,$5144280
2013-14,New Orleans Pelicans,NBA,$5375760
2014-15,New Orleans Pelicans,NBA,$5607240
2015-16,New Orleans Pelicans,NBA,$7070730
2016-17,New Orleans Pelicans,NBA,$22116750
2017-18,New Orleans Pelicans,NBA,$23775506
2018-19,New Orleans Pelicans,NBA,$25434262
2019-20,Los Angeles Lakers,NBA,$27093019
2020-21,Los Angeles Lakers,NBA,$32742000
2021-22,Los Angeles Lakers,NBA,$35361360
2022-23,Los Angeles Lakers,NBA,$37980720
2023-24,Los Angeles Lakers,NBA,$40600080
Career,(may be incomplete),,$268301707