Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Season,Regular Season,470,910,.516,35,124,.282,.536,294,.626
,Playoffs,25,52,.481,5,13,.385,.529,15,.600
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Game Location,Home,242,439,.551,24,61,.393,.579,149,.616
,Road,253,523,.484,16,76,.211,.499,160,.632
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Game Result,Win,304,574,.530,28,80,.350,.554,191,.628
,Loss,191,388,.492,12,57,.211,.508,118,.618
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Shot Points,2,455,825,.552,0,0,,.552,274,.602
,3,40,137,.292,40,137,.292,.438,35,.875
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Shot Distance,At Rim,208,276,.754,0,0,,.754,127,.611
,3 to <10 ft,139,283,.491,0,0,,.491,88,.633
,10 to <16 ft,49,138,.355,0,0,,.355,26,.531
,16 ft to <3-pt,59,128,.461,0,0,,.461,33,.559
,3-pt,40,137,.292,40,137,.292,.438,35,.875
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Shot Type,Dunk,87,91,.956,0,0,,.956,66,.759
,Hook Shot,30,58,.517,0,0,,.517,18,.600
,Jump Shot,213,537,.397,40,137,.292,.434,137,.643
,Lay-Up,165,276,.598,0,0,,.598,88,.533
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Quarter,1st,169,323,.523,12,41,.293,.542,98,.580
,2nd,106,193,.549,6,21,.286,.565,64,.604
,3rd,147,284,.518,13,41,.317,.540,96,.653
,4th,72,160,.450,9,34,.265,.478,50,.694
,OT,1,2,.500,0,0,,.500,1,1.000
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Time Left in Quarter,< 3 minutes,129,247,.522,14,47,.298,.551,90,.698
,3-6 minutes,162,315,.514,11,37,.297,.532,91,.562
,> 6 minutes,204,400,.510,15,53,.283,.529,128,.627
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Margin,â‰¤ 5 points,228,450,.507,24,63,.381,.533,139,.610
,6-10 points,125,235,.532,7,30,.233,.547,81,.648
,> 10 points,142,277,.513,9,44,.205,.529,89,.627
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Opponent,Atlanta,35,67,.522,2,9,.222,.537,22,.629
,Boston,9,18,.500,0,1,.000,.500,6,.667
,Brooklyn,11,19,.579,0,3,.000,.579,8,.727
,Charlotte,17,28,.607,0,2,.000,.607,7,.412
,Chicago,7,23,.304,0,4,.000,.304,5,.714
,Cleveland,21,40,.525,2,5,.400,.550,13,.619
,Dallas,7,18,.389,0,2,.000,.389,3,.429
,Denver,6,19,.316,0,2,.000,.316,3,.500
,Detroit,20,37,.541,1,7,.143,.554,16,.800
,Golden State,13,26,.500,0,3,.000,.500,10,.769
,Houston,20,36,.556,4,6,.667,.611,9,.450
,LA Clippers,13,33,.394,1,6,.167,.409,9,.692
,LA Lakers,5,13,.385,0,2,.000,.385,5,1.000
,Memphis,37,67,.552,5,14,.357,.590,22,.595
,Miami,13,35,.371,1,4,.250,.386,10,.769
,Minnesota,25,58,.431,2,10,.200,.448,9,.360
,New Orleans,12,20,.600,2,4,.500,.650,8,.667
,Oklahoma City,5,9,.556,0,0,,.556,4,.800
,Orlando,19,41,.463,2,6,.333,.488,11,.579
,Philadelphia,13,23,.565,2,3,.667,.609,8,.615
,Phoenix,33,61,.541,0,4,.000,.541,25,.758
,Portland,10,21,.476,1,4,.250,.500,5,.500
,Sacramento,42,84,.500,5,10,.500,.530,27,.643
,San Antonio,35,58,.603,4,11,.364,.638,21,.600
,Toronto,30,46,.652,3,7,.429,.685,20,.667
,Utah,23,40,.575,2,5,.400,.600,15,.652
,Washington,14,22,.636,1,3,.333,.659,8,.571
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Month,October,53,97,.546,2,8,.250,.557,32,.604
,November,129,231,.558,11,28,.393,.582,86,.667
,December,112,230,.487,9,32,.281,.507,68,.607
,January,106,200,.530,6,26,.231,.545,63,.594
,February,10,18,.556,2,2,1.000,.611,3,.300
,March,23,61,.377,1,12,.083,.385,17,.739
,April,62,125,.496,9,29,.310,.532,40,.645
